Fecha,IMAE,TPolMon,total_activo,promedio_cvc
2024-12-31T00:00:00Z,4.5,154.5045623779297,571911993,0.024113333333333334
2024-11-30T00:00:00Z,4.5,149.43710327148438,566061637,0.02536
2024-10-31T00:00:00Z,4.5,145.56118774414063,562221277,0.02386
2024-09-30T00:00:00Z,4.75,143.6060028076172,555194606,0.024946666666666666
2024-08-31T00:00:00Z,5,146.88104248046875,551796381,0.02444666666666667
2024-07-31T00:00:00Z,5,146.68785095214844,547968698,0.0239
2024-06-30T00:00:00Z,5,143.31942749023438,546821393,0.023806666666666667
2024-05-31T00:00:00Z,5,147.5,539888679,0.021913333333333333
2024-04-30T00:00:00Z,5,146.3000030517578,538580522,0.021773333333333336
2024-03-31T00:00:00Z,5,148.39999389648438,534528139,0.023026666666666668
2024-02-29T00:00:00Z,5,145.3000030517578,532782438,0.02006875
2024-01-31T00:00:00Z,5,145.3000030517578,530147575,0.01850625
2023-12-31T00:00:00Z,5,149.5,528223459,0.0152625
2023-11-30T00:00:00Z,5,144.3000030517578,513539172,0.01609375
2023-10-31T00:00:00Z,5,137.8000030517578,511121316,0.017606666666666666
2023-09-30T00:00:00Z,5,138.60000610351563,510233326,0.017833333333333333
2023-08-31T00:00:00Z,5,141.10000610351563,505851403,0.017873333333333335
2023-07-31T00:00:00Z,5,142.39999389648438,504728093,0.016953333333333334
2023-06-30T00:00:00Z,5,139.3000030517578,502657236,0.015706666666666667
2023-05-31T00:00:00Z,5,141.1999969482422,499160374,0.016533333333333334
2023-04-30T00:00:00Z,5,140.6999969482422,498679713,0.01654
2023-03-31T00:00:00Z,4.75,144.89999389648438,494516228,0.016460000000000002
2023-02-28T00:00:00Z,4.5,140.89999389648438,489867097,0.016573333333333332
2023-01-31T00:00:00Z,4.25,139.3000030517578,488309235,0.019113333333333333
2022-12-31T00:00:00Z,3.75,146.0966033935547,486323293,0.016873333333333334
2022-11-30T00:00:00Z,3,140.99005126953125,480053347,0.016953333333333334
2022-10-31T00:00:00Z,3,135.90606689453125,476174285,0.01762
2022-09-30T00:00:00Z,3,134.3000030517578,470662028,0.017266666666666666
2022-08-31T00:00:00Z,2.75,135.1999969482422,465832596,0.01878
2022-07-31T00:00:00Z,2.25,135.10000610351563,463596995,0.019473333333333332
2022-06-30T00:00:00Z,2.25,132,455996272,0.020713333333333334
2022-05-31T00:00:00Z,2,135.5,449823406,0.02406
2022-04-30T00:00:00Z,1.75,135.8000030517578,448629962,0.02258
2022-03-31T00:00:00Z,1.75,139.10000610351563,444237871,0.020733333333333333
2022-02-28T00:00:00Z,1.75,134.5,440483079,0.02106
2022-01-31T00:00:00Z,1.75,135,437690666,0.022873333333333336
2021-12-31T00:00:00Z,1.75,140.8000030517578,434597859,0.02208
2021-11-30T00:00:00Z,1.75,135.3000030517578,426551987,0.022253333333333333
2021-10-31T00:00:00Z,1.75,130.60000610351563,421985662,0.023773333333333334
2021-09-30T00:00:00Z,1.75,128.8000030517578,416332042,0.023026666666666668
2021-08-31T00:00:00Z,1.75,130.10000610351563,414011019,0.02324666666666667
2021-07-31T00:00:00Z,1.75,131.1999969482422,413754453,0.024933333333333335
2021-06-30T00:00:00Z,1.75,127.5,407031251,0.0263
2021-05-31T00:00:00Z,1.75,130,404356551,0.027866666666666668
2021-04-30T00:00:00Z,1.75,130.10000610351563,401995128,0.029266666666666667
2021-03-31T00:00:00Z,1.75,133.3000030517578,397664244,0.027613333333333333
2021-02-28T00:00:00Z,1.75,128.60000610351563,396800611,0.024426666666666666
2021-01-31T00:00:00Z,1.75,128.89999389648438,396499044,0.027006666666666665
2020-12-31T00:00:00Z,1.75,135,394066453,0.02376
2020-11-30T00:00:00Z,1.75,128,390020634,0.022373333333333335
2020-10-31T00:00:00Z,1.75,125.19999694824219,388534186,0.022321428571428572
2020-09-30T00:00:00Z,1.75,121.69999694824219,380485219,0.021692857142857142
2020-08-31T00:00:00Z,1.75,120.5999984741211,377984366,0.022792857142857142
2020-07-31T00:00:00Z,1.75,118.5,373754337,0.022814285714285714
2020-06-30T00:00:00Z,1.75,111.5,372431667,0.024485714285714288
2020-05-31T00:00:00Z,2,111.5,366441042,0.02633571428571429
2020-04-30T00:00:00Z,2,112.69999694824219,363612108,0.024514285714285714
2020-03-31T00:00:00Z,2,121.4000015258789,361293756,0.024764285714285714
2020-02-29T00:00:00Z,2.75,125.5,353786588,0.026114285714285715
2020-01-31T00:00:00Z,2.75,127,350401661,0.02693571428571429
2019-12-31T00:00:00Z,2.75,130.5,349684200,0.02762857142857143
2019-11-30T00:00:00Z,2.75,126.9000015258789,344429065,0.02967857142857143
2019-10-31T00:00:00Z,2.75,123,342326050,0.02930666666666667
2019-09-30T00:00:00Z,2.75,120.80000305175781,342622037,0.030133333333333335
2019-08-31T00:00:00Z,2.75,121.9000015258789,339469578,0.030026666666666667
2019-07-31T00:00:00Z,2.75,122.9000015258789,336822877,0.030053333333333335
2019-06-30T00:00:00Z,2.75,120.4000015258789,337380994,0.029926666666666667
2019-05-31T00:00:00Z,2.75,123.69999694824219,334151163,0.02982
2019-04-30T00:00:00Z,2.75,124,334436472,0.029593333333333333
2019-03-31T00:00:00Z,2.75,126.0999984741211,331105574,0.027486666666666666
2019-02-28T00:00:00Z,2.75,122.80000305175781,328485242,0.02772
2019-01-31T00:00:00Z,2.75,122.0999984741211,326781834,0.027880000000000002
2018-12-31T00:00:00Z,2.75,125.19999694824219,328936400,0.028093333333333335
2018-11-30T00:00:00Z,2.75,121,320003501,0.03167333333333333
2018-10-31T00:00:00Z,2.75,118,318071011,0.03066
2018-09-30T00:00:00Z,2.75,115.4000015258789,317188355,0.0290875
2018-08-31T00:00:00Z,2.75,118,315400359,0.0306375
2018-07-31T00:00:00Z,2.75,118.19999694824219,312343436,0.030887500000000002
2018-06-30T00:00:00Z,2.75,116.4000015258789,311686121,0.029625000000000002
2018-05-31T00:00:00Z,2.75,118.69999694824219,308992789,0.02950625
2018-04-30T00:00:00Z,2.75,119.5999984741211,307634938,0.029475
2018-03-31T00:00:00Z,2.75,121.80000305175781,304559122,0.029118750000000002
