Fecha,IMAE,meses,imae_trend,gap_pct
2008-08-31T00:00:00Z,85.80000305175781,0,85.80000305175781,0
2008-09-30T00:00:00Z,84.69999694824219,1,85.87117742450026,-1.3732670672142788
2008-10-31T00:00:00Z,85.69999694824219,2,85.94241083909768,-0.28246405437588606
2008-11-30T00:00:00Z,87.30000305175781,3,86.01370334452751,1.4843873027209575
2008-12-31T00:00:00Z,91.4000015258789,4,86.08505498980787,5.990967614137688
2009-01-31T00:00:00Z,86.80000305175781,5,86.15646582399751,0.7441643573795176
2009-02-28T00:00:00Z,84.80000305175781,6,86.22793589619587,-1.669862870320582
2009-03-31T00:00:00Z,89.4000015258789,7,86.29946525554318,3.5297297520927806
2009-04-30T00:00:00Z,86.9000015258789,8,86.37105395122036,0.6105453866066313
2009-05-31T00:00:00Z,85,9,86.44270203244915,-1.6830533711748252
2009-06-30T00:00:00Z,84,10,86.51440954849213,-2.949418559651562
2009-07-31T00:00:00Z,87,11,86.58617654865276,0.4767939976990654
2009-08-31T00:00:00Z,86.5,12,86.65800308227539,-0.18249589775232167
2009-09-30T00:00:00Z,86.0999984741211,13,86.72988919874527,-0.7289173441606955
2009-10-31T00:00:00Z,87.9000015258789,14,86.80183494748866,1.2572060659505446
2009-11-30T00:00:00Z,89,15,86.8738403779728,2.4179414103490338
2009-12-31T00:00:00Z,95.0999984741211,16,86.94590553970596,8.964280363993726
2010-01-31T00:00:00Z,89.30000305175781,17,87.01803048223749,2.588617795249526
2010-02-28T00:00:00Z,87.30000305175781,18,87.09021525515784,0.24059594607495072
2010-03-31T00:00:00Z,93.9000015258789,19,87.16245990809861,7.445666988455368
2010-04-30T00:00:00Z,89.4000015258789,20,87.23476449073256,2.4517772429995865
2010-05-31T00:00:00Z,88,21,87.30712905277365,0.7904693422974063
2010-06-30T00:00:00Z,88,22,87.37955364397706,0.7075499185209999
2010-07-31T00:00:00Z,87.9000015258789,23,87.4520383141393,0.5109312519629761
2010-08-31T00:00:00Z,87.19999694824219,24,87.52458311309815,-0.3715407850814145
2010-09-30T00:00:00Z,87.69999694824219,25,87.59718809073273,0.11729665741535555
2010-10-31T00:00:00Z,89.5,26,87.66985329696355,2.066053303675641
2010-11-30T00:00:00Z,92,27,87.74257878175253,4.738129056722329
2010-12-31T00:00:00Z,98.69999694824219,28,87.81536459510302,11.684843480032203
2011-01-31T00:00:00Z,92.69999694824219,29,87.88821078705986,5.3302764693667015
2011-02-28T00:00:00Z,91.69999694824219,30,87.96111740770942,4.162747678750733
2011-03-31T00:00:00Z,97,31,88.0340845071796,9.698691507050938
2011-04-30T00:00:00Z,93.0999984741211,32,88.1071121356399,5.51209102227066
2011-05-31T00:00:00Z,91.5999984741211,33,88.18020034330138,3.804880311361636
2011-06-30T00:00:00Z,91.5999984741211,34,88.25334918041683,3.7219608875853183
2011-07-31T00:00:00Z,92.0999984741211,35,88.32655869728069,4.1834086309700425
2011-08-31T00:00:00Z,92,36,88.39982894422914,3.9918542427347603
2011-09-30T00:00:00Z,92.30000305175781,37,88.47315997164006,4.2344945712813775
2011-10-31T00:00:00Z,92.19999694824219,38,88.54655182993318,4.043167436600115
2011-11-30T00:00:00Z,96.5999984741211,39,88.62000456957004,8.622110808763939
2011-12-31T00:00:00Z,100.80000305175781,40,88.69351824105404,12.795157433989335
2012-01-31T00:00:00Z,95.19999694824219,41,88.76709289493046,6.996390393052643
2012-02-29T00:00:00Z,95.4000015258789,42,88.84072858178651,7.123339440050103
2012-03-31T00:00:00Z,100.69999694824219,43,88.9144253522514,12.447137513303463
2012-04-30T00:00:00Z,94.4000015258789,44,88.9881832569963,5.903750079162062
2012-05-31T00:00:00Z,95.69999694824219,45,89.06200234673437,7.188548380854254
2012-06-30T00:00:00Z,93.9000015258789,46,89.13588267222099,5.206842546492574
2012-07-31T00:00:00Z,94.5,47,89.2098242842535,5.760866326259961
